index;x;y;z
532;-0.413055;1.182938;0.132477
533;-0.279007;0.989395;0.024673
534;-0.201569;0.860886;0.087631
535;-0.040146;0.805267;0.145828
536;-0.103439;0.918289;0.108307
537;-0.218628;0.897324;-0.007019
538;-0.501022;1.083588;0.063614
539;-0.535736;1.194962;0.189011
540;-0.574875;1.337128;0.211639
541;-0.582016;1.348953;0.108749
542;-0.764709;1.416016;0.073502
543;-0.917267;1.361710;0.148956
544;-0.973816;1.258087;0.100220
545;-1.077652;1.063705;-0.027817
546;-0.935028;0.918671;0.062424
547;-0.835175;0.930588;0.018661
548;-0.905991;0.746628;-0.072266
549;-0.890305;0.771423;0.027328
550;-0.816818;1.050446;0.100021
551;-0.855850;1.516068;0.090485
552;-0.826050;1.653503;0.021484
553;-0.728806;1.548325;0.012390
554;-0.616028;1.493683;0.072952
555;-0.440002;1.315887;0.100327
556;-0.375381;1.122116;0.085037
557;-0.294525;1.004868;0.141983
558;-0.114792;0.870773;0.160385
559;-0.072784;0.879654;0.200745
560;-0.105530;0.782272;0.024719
561;-0.393524;0.958542;0.034927
562;-0.415054;1.019714;0.162140
563;-0.466843;1.275146;0.166580
564;-0.507614;1.374557;0.037903
565;-0.713791;1.470184;0.035721
566;-0.867401;1.499359;0.049942
567;-0.975296;1.380585;0.042145
568;-1.152405;1.218231;-0.160538
569;-1.060547;0.989243;-0.025391
570;-0.840515;0.978271;0.151260
571;-0.963150;0.843353;-0.012924
572;-0.914261;0.746292;-0.056610
573;-0.756058;0.974075;0.021912
574;-0.761826;1.373749;-0.019669
575;-0.779907;1.533173;-0.103882
576;-0.724609;1.501419;-0.068588
577;-0.648270;1.481598;-0.036469
578;-0.495483;1.354782;0.061081
579;-0.377594;1.272995;0.098953
580;-0.168594;1.115128;0.136826
581;-0.014206;0.920822;0.117889
582;-0.085190;0.968674;0.104782
583;-0.086670;0.917984;0.052872
584;-0.257980;1.015945;0.066345
585;-0.333878;1.098053;0.122437
586;-0.443970;1.252518;0.107910
587;-0.539551;1.357849;0.044586
588;-0.704727;1.430267;0.087601
589;-0.873001;1.442215;0.085159
590;-0.935043;1.289780;-0.001144
591;-1.116745;1.177811;-0.060287
592;-1.015686;0.998428;0.173248
593;-0.820114;0.961868;0.206207
594;-0.811066;0.710083;-0.008102
595;-0.850876;0.740219;0.009033
596;-0.764343;1.005600;0.033463
597;-0.796143;1.374268;-0.051804
598;-0.818665;1.535614;-0.072479
599;-0.704620;1.428650;-0.049805
600;-0.642319;1.445770;-0.004913
601;-0.573959;1.422607;0.087341
602;-0.492279;1.361450;0.114990
603;-0.238342;1.221634;0.142303
604;0.020157;0.962494;0.151199
605;0.016006;0.959290;0.121063
606;-0.090897;0.862610;0.038635
607;-0.299332;0.987564;0.145386
608;-0.388916;1.082260;0.228882
609;-0.445969;1.189835;0.148041
610;-0.529099;1.256622;-0.032898
611;-0.641754;1.337769;0.002625
612;-0.775726;1.441299;0.036163
613;-0.948456;1.389908;0.022720
614;-1.031540;1.205368;0.017258
615;-0.970596;1.043762;0.105942
616;-0.812912;0.918762;0.220184
617;-1.004395;0.848160;0.130524
618;-1.010437;0.806564;0.123108
619;-0.824600;1.057098;0.129837
620;-0.733719;1.431091;0.091766
621;-0.747559;1.684387;-0.009018
622;-0.655167;1.606979;-0.081787
623;-0.579178;1.511780;-0.020691
624;-0.515366;1.465775;0.098282
625;-0.328903;1.228989;0.081375
626;-0.109375;1.088440;0.112656
627;0.198761;0.747147;0.148163
628;0.083878;0.858749;0.190140
629;-0.106750;0.886429;0.050568
630;-0.389221;1.109772;-0.027161
631;-0.466400;1.148148;0.049667
632;-0.550781;1.325134;0.156036
633;-0.518982;1.363098;0.054230
634;-0.645554;1.429947;-0.004578
635;-0.832047;1.523102;0.010376
636;-0.916977;1.376541;0.016434
637;-1.046417;1.172638;-0.007568
638;-0.990402;0.973145;0.023788
639;-0.817978;0.905167;0.144882
640;-0.907776;0.895981;0.022537
641;-0.907288;0.817978;-0.012604
642;-0.809341;1.050018;0.081955
643;-0.774963;1.397263;0.026993
644;-0.820755;1.751068;-0.040985
645;-0.700241;1.698349;-0.084839
646;-0.587067;1.563736;-0.044678
647;-0.582977;1.479553;0.081558
648;-0.379608;1.322159;0.134949
649;-0.320465;1.100967;0.049637
650;-0.062500;0.862167;0.108353
651;0.045685;0.764130;0.182571
652;-0.051468;0.738358;0.069611
653;-0.286865;0.798981;-0.025223
654;-0.462921;1.002213;0.114319
655;-0.578049;1.186432;0.189072
656;-0.714371;1.383530;0.137207
657;-0.833878;1.320999;0.035736
658;-0.868286;1.286118;0.070831
659;-0.894547;1.249222;0.057678
660;-0.892365;1.135391;0.045410
661;-0.868988;1.022766;0.071320
662;-0.862122;0.893646;0.086533
663;-0.951935;0.899429;0.036255
664;-1.037247;0.884384;-0.009109
665;-0.906906;0.797516;0.036606
666;-0.768860;1.016129;0.090347
667;-0.811905;1.383804;0.040726
668;-0.937103;1.674362;-0.078064
669;-0.842819;1.621460;-0.083679
670;-0.635284;1.562515;0.009064
671;-0.421463;1.442215;0.074692
672;-0.290497;1.096298;-0.015900
673;-0.232452;0.894257;0.001068
674;-0.071701;0.762619;0.093170
675;-0.085663;0.865402;0.124863
676;-0.175491;0.990646;0.062958
677;-0.288666;0.968109;-0.102676
678;-0.520264;1.128632;0.035751
679;-0.564880;1.285217;0.183441
680;-0.661255;1.442337;0.137787
681;-0.794510;1.416077;0.036423
682;-0.914902;1.341812;0.067490
683;-0.908173;1.218781;0.048309
684;-0.914810;1.050980;-0.010498
685;-0.907883;0.880447;-0.013153
686;-0.839188;0.834625;0.114227
687;-0.907578;0.880325;0.035004
688;-0.780823;0.793823;-0.068024
689;-0.716919;0.943939;0.002670
690;-0.688019;1.198441;-0.019028
691;-0.689972;1.524689;-0.129593
692;-0.679214;1.592697;-0.107468
693;-0.671722;1.535965;-0.054535
694;-0.550003;1.383835;0.029419
695;-0.408875;1.334412;0.095779
696;-0.297348;1.072266;0.039917
697;-0.287170;0.931091;0.050415
698;-0.175613;0.783279;0.063354
699;-0.160065;0.769943;0.069275
700;-0.141998;0.805145;0.053726
701;-0.321075;0.797806;-0.089645
702;-0.638016;0.924393;0.020447
703;-0.762207;1.065674;0.182373
704;-0.867264;1.196838;0.127365
705;-0.881897;1.075043;-0.050964
706;-0.910568;0.936951;0.037018
707;-0.886673;0.863235;0.176437
708;-0.826370;0.805008;0.098755
709;-0.789978;0.868118;0.037430
710;-0.615707;0.893555;0.063034
711;-0.457611;0.879303;0.076950
712;-0.352524;0.885986;0.059570
713;-0.283157;0.925079;0.011948
714;-0.277084;0.955551;-0.044754
715;-0.300781;0.936829;-0.006165
716;-0.326462;0.937531;-0.005997
717;-0.364838;0.903992;-0.012054
718;-0.408096;0.916611;-0.032257
719;-0.425842;0.929886;-0.042526
720;-0.446457;0.915085;-0.076797
721;-0.447906;0.893585;-0.082230
722;-0.439896;0.903030;-0.018478
723;-0.439850;0.922501;-0.077774
724;-0.426605;0.900299;-0.114380
725;-0.418747;0.891373;-0.024628
726;-0.401016;0.907684;-0.040909
727;-0.403580;0.914642;-0.042648
728;-0.401230;0.929443;-0.103546
729;-0.383423;0.916351;-0.025543
730;-0.399414;0.918625;-0.038879
731;-0.376999;0.920807;-0.077957
732;-0.395584;0.909470;-0.033737
733;-0.399216;0.927277;-0.053650
734;-0.399353;0.913040;-0.053452
735;-0.410690;0.913315;-0.030487
736;-0.375992;0.940781;-0.098373
737;-0.400528;0.914322;-0.054016
738;-0.405869;0.916855;-0.046997
739;-0.412888;0.897842;-0.034775
740;-0.400131;0.915176;-0.038940
741;-0.406616;0.909744;-0.063889
742;-0.416367;0.920624;-0.031433
743;-0.400314;0.916412;-0.031540
744;-0.383530;0.919373;-0.041534
745;-0.386795;0.920547;-0.044327
746;-0.400742;0.915970;-0.034210
747;-0.396790;0.917130;-0.037003
748;-0.389175;0.909714;-0.039246
749;-0.392578;0.928513;-0.044678
750;-0.387665;0.918320;-0.050766
751;-0.395706;0.921066;-0.058151
752;-0.388733;0.918015;-0.050110
753;-0.385178;0.922318;-0.066238
754;-0.383774;0.908157;-0.054016
755;-0.394028;0.916916;-0.047028
756;-0.389114;0.918930;-0.063339
